accessibility ♿️
architecture 🏗️
assets 🍱
badcode 💩
comment 💡
compiler 🚨
configuration 🔧
deployment 🚀
docs 📝
drunk 🍻
easteregg 🥚
errorhandle 🥅
feat ✨
fix 🐛
gitignore 🙈
multithreading 🧵
performances ⚡️
permissions 🛂
refactor ♻️
remove 🔥
rename 🚚
revert ⏪️
security 🔒️
style 🎨
test ✅
